Folder,File,MFCCs,ZCR,PitchMean,PitchStd,SpectralCentroid,SpectralBandwidth,SpectralRolloff,Harmonic,Percussive
New knowledge from science,citizen_audio_b115ec58-c287-45d3-99a3-4fee147dcd68.wav,"[-382.3688049316406, 111.31220245361328, -16.65285873413086, 20.174522399902344, 13.55843448638916, -5.005070209503174, -25.42714500427246, -19.525333404541016, -5.609653949737549, -13.289448738098145, -1.2911114692687988, -10.838775634765625, -17.77666664123535]",0.07351577516818837,17.465389251708984,201.96255493164062,2439.5433534744548,1986.725272857415,4048.526850072081,1.4478334087186795e-09,-2.268778871439281e-06
New knowledge from science,citizen_audio_c54a4372-416b-459c-9ed1-81b12e26eff6.wav,"[-465.7388916015625, 114.99360656738281, -12.262568473815918, 13.6806058883667, 9.09271240234375, -10.031618118286133, 8.453022956848145, -0.34932026267051697, -15.603346824645996, -8.818511009216309, -3.95721435546875, -2.2940053939819336, -5.581265449523926]",0.07973284656747201,22.18208122253418,233.27838134765625,2458.9681847679017,1905.9814640236284,3812.9649749558043,-4.1081975155066175e-08,-1.6701858385204105e-07
New knowledge from science,citizen_audio_68f1b8d9-9eb8-4efb-be64-bae4fd9efdc2.wav,"[-405.7581481933594, 96.98388671875, -29.815128326416016, 2.5852198600769043, 15.806944847106934, -12.668777465820312, -11.754801750183105, -14.289851188659668, -14.550446510314941, -4.052484512329102, -5.50339412689209, -7.240547180175781, -5.911325931549072]",0.07107991581846068,29.35465431213379,274.93572998046875,3119.9841982316293,2625.730515288365,5416.206253485778,9.360309860539928e-08,4.301950298213342e-07
New knowledge from science,citizen_audio_ffd5b812-fd2f-4c92-a5aa-30be026ea120.wav,"[-417.6957702636719, 75.07813262939453, 31.273632049560547, 20.925004959106445, 4.509318828582764, -2.802112340927124, -8.645476341247559, -8.256997108459473, -21.50142478942871, -14.629118919372559, -6.008841514587402, 5.338135719299316, -3.4353222846984863]",0.12991969007311188,11.413759231567383,164.07119750976562,3834.282180261934,3502.3994694063604,6572.041198626491,1.2516951919394614e-08,-2.5669121441751486e-06
New knowledge from science,citizen_audio_d688e1c7-d06b-4a36-9e99-093cc65b2e82.wav,"[-345.17462158203125, 123.4668197631836, -14.399286270141602, 2.3374907970428467, 1.7495428323745728, -18.14344024658203, -20.087722778320312, -16.48828887939453, -16.019506454467773, -12.72610092163086, -10.068265914916992, -9.40971565246582, -12.013436317443848]",0.08120718008276077,16.839338302612305,195.47930908203125,2828.6980895728134,2521.28692427387,4875.161032167395,1.1302607461072256e-10,7.0881378633202985e-06
New knowledge from science,citizen_audio_2ccdb076-a75a-4a37-a73d-f6d0f305fa9a.wav,"[-449.2843322753906, 107.69269561767578, 19.566694259643555, 14.06902027130127, -8.28302001953125, -2.8618226051330566, -3.6612155437469482, -11.642898559570312, -6.452742576599121, -6.989823818206787, -4.013826847076416, -10.455613136291504, -8.980842590332031]",0.06374431071696697,13.8652982711792,162.6147918701172,2556.364229942017,2624.8671212787417,4597.086148648648,-2.055726922023382e-09,-1.3784900829705293e-06
New knowledge from science,citizen_audio_e1cf8a2e-0c48-4ef5-9cb0-c79a6a81ff74.wav,"[-365.68951416015625, 79.47216796875, 4.366703987121582, 26.731779098510742, -1.4736082553863525, 10.572449684143066, -16.395957946777344, -6.2870774269104, -17.324954986572266, -10.964290618896484, -8.496159553527832, -6.723612308502197, -5.133978843688965]",0.10032967109895033,20.06290054321289,222.78128051757812,3606.5150546735777,3199.6897644652336,6383.045614919355,-1.9797392170062267e-08,-6.529387064801995e-06
New knowledge from science,citizen_audio_4762a4d4-37b8-4ffd-9a30-5c207a8d3cae.wav,"[-362.46856689453125, 96.06243896484375, 6.899502277374268, 33.94637680053711, 2.6616933345794678, 21.44412612915039, 0.04842390492558479, 7.116871356964111, -5.608151435852051, 1.023746132850647, 3.963325023651123, -5.962466239929199, -8.301616668701172]",0.08389440437617114,12.79427433013916,174.74217224121094,3683.2917158364153,3869.119282479633,6711.776819175515,-5.384829819377046e-06,1.2634216545848176e-05
A house has all kinds of stuff,citizen_audio_91f17e50-84ab-4dcb-8bda-a458f5431e44.wav,"[-387.7270202636719, 64.94269561767578, -26.61733055114746, 10.275141716003418, -1.8282537460327148, 2.817229747772217, -9.796615600585938, -18.87875747680664, -2.0725061893463135, -18.018667221069336, -11.541580200195312, -2.036926746368408, -9.888813972473145]",0.0956254163826227,29.3637638092041,269.94989013671875,3281.5547432069616,2677.908036142257,5510.6710151214675,-2.611893812343169e-08,-3.240622390876524e-05
A house has all kinds of stuff,citizen_audio_4dd15d7f-de90-4bd5-809a-0c35778c8764.wav,"[-406.3106384277344, 86.52946472167969, -0.8340296745300293, 19.41889190673828, 17.25187110900879, -12.625789642333984, -4.005140781402588, -1.4094088077545166, -9.711991310119629, -4.739862442016602, -8.671954154968262, -10.785785675048828, -3.7165820598602295]",0.051851703574914594,20.81761360168457,232.78427124023438,2351.0497094345765,2111.5944080251315,4178.921120058565,-6.17588682416681e-08,-1.0504539204703178e-05
